age,gender,category,purchase_amount,location,size,season,review_rating,subscription,payment_method,shipping_type,discount_apply,previous_purchase,preffered_payment,freq_purchase,cluster
65,Male,Accessories,59.0,Northeast,L,Fall,3.8,No,Bank Transfer,Express,Yes,22.0,Cash,Every 3 Months,0
62,Male,Accessories,30.0,West,XL,Spring,4.5,No,Cash,Standard,Yes,45.0,Credit Card,Annually,2
54,Male,Accessories,85.0,Southeast,XL,Winter,2.6,No,PayPal,Next Day Air,Yes,30.0,Venmo,Quarterly,1
35,Male,Accessories,97.0,West,L,Summer,3.3,No,Credit Card,Store Pickup,Yes,43.0,Cash,Weekly,1
34,Male,Clothing,36.0,Southwest,S,Fall,4.1,No,Credit Card,Next Day Air,Yes,48.0,Cash,Quarterly,2
25,Male,Accessories,85.0,West,M,Winter,3.0,No,PayPal,Store Pickup,Yes,23.0,Venmo,Fortnightly,0
53,Male,Accessories,62.0,West,M,Winter,3.0,No,PayPal,Free Shipping,Yes,27.0,PayPal,Bi-Weekly,1
45,Male,Clothing,71.0,Southeast,S,Winter,3.4,No,PayPal,Next Day Air,Yes,7.0,Bank Transfer,Monthly,0
49,Male,Clothing,21.0,Southwest,M,Winter,2.7,No,Bank Transfer,Free Shipping,Yes,2.0,PayPal,Weekly,3
40,Male,Accessories,61.0,West,M,Spring,3.8,No,Debit Card,Next Day Air,Yes,33.0,PayPal,Bi-Weekly,1
38,Male,Accessories,58.0,Northeast,M,Spring,4.2,No,Bank Transfer,Store Pickup,Yes,27.0,Cash,Fortnightly,2
44,Male,Clothing,80.0,Southeast,L,Spring,4.7,No,Cash,Store Pickup,Yes,6.0,Credit Card,Fortnightly,0
68,Male,Accessories,50.0,Midwest,L,Spring,4.1,No,Credit Card,2-Day Shipping,Yes,20.0,Venmo,Quarterly,3
60,Male,Footwear,48.0,Southeast,S,Winter,4.2,No,PayPal,2-Day Shipping,Yes,46.0,Venmo,Every 3 Months,2
25,Male,Accessories,40.0,Northeast,M,Winter,4.8,No,Credit Card,Next Day Air,Yes,25.0,Cash,Quarterly,2
19,Male,Outerwear,34.0,Southeast,S,Summer,3.0,No,Debit Card,Free Shipping,Yes,30.0,Bank Transfer,Quarterly,2
57,Male,Outerwear,46.0,Northeast,S,Fall,2.6,No,Credit Card,Standard,Yes,48.0,Credit Card,Annually,2
58,Male,Accessories,27.0,Northeast,M,Summer,3.2,No,Venmo,Store Pickup,Yes,47.0,Bank Transfer,Weekly,2
49,Male,Accessories,98.0,West,S,Spring,3.6,No,PayPal,Next Day Air,Yes,27.0,Credit Card,Weekly,1
19,Male,Clothing,73.0,Southeast,M,Fall,2.6,No,Cash,Next Day Air,Yes,45.0,Bank Transfer,Fortnightly,1
50,Male,Clothing,28.0,West,L,Spring,4.4,No,Debit Card,Express,Yes,2.0,Credit Card,Weekly,3
30,Male,Accessories,76.0,Southeast,XL,Fall,3.0,No,Cash,Free Shipping,Yes,39.0,Cash,Fortnightly,1
52,Male,Clothing,83.0,Southwest,M,Fall,2.9,No,Credit Card,Express,Yes,24.0,Cash,Fortnightly,0
35,Male,Clothing,23.0,Southeast,S,Spring,4.3,No,Debit Card,Free Shipping,Yes,8.0,Debit Card,Bi-Weekly,3
35,Male,Accessories,28.0,Southeast,M,Fall,3.1,No,Bank Transfer,Express,Yes,8.0,Bank Transfer,Quarterly,3
33,Male,Clothing,83.0,Northeast,S,Spring,3.0,No,Credit Card,Next Day Air,Yes,6.0,Venmo,Every 3 Months,0
52,Male,Clothing,96.0,Midwest,L,Winter,3.6,No,Credit Card,Store Pickup,Yes,12.0,Venmo,Fortnightly,0
69,Male,Footwear,62.0,Southwest,M,Fall,2.8,No,Venmo,Store Pickup,Yes,26.0,Bank Transfer,Weekly,0
27,Male,Clothing,25.0,Midwest,M,Fall,2.8,No,Venmo,Standard,Yes,50.0,Cash,Fortnightly,2
66,Male,Clothing,97.0,Southwest,L,Winter,4.9,No,Debit Card,Next Day Air,Yes,2.0,Venmo,Weekly,0
28,Male,Clothing,61.0,Southwest,L,Fall,3.0,No,Debit Card,Standard,Yes,31.0,Cash,Bi-Weekly,1
22,Male,Footwear,66.0,Northeast,S,Summer,4.1,No,Bank Transfer,Next Day Air,Yes,4.0,Credit Card,Bi-Weekly,0
69,Male,Clothing,67.0,West,XL,Spring,4.6,No,Credit Card,Free Shipping,Yes,32.0,PayPal,Quarterly,1
28,Male,Accessories,80.0,Southeast,M,Summer,4.8,No,Cash,Next Day Air,Yes,11.0,PayPal,Bi-Weekly,0
55,Male,Clothing,25.0,Northeast,L,Fall,2.6,No,Cash,Next Day Air,Yes,47.0,Bank Transfer,Every 3 Months,2
30,Male,Accessories,58.0,Northeast,S,Fall,4.0,No,Bank Transfer,2-Day Shipping,Yes,37.0,Cash,Weekly,2
67,Male,Accessories,96.0,West,M,Winter,4.2,No,Venmo,Express,Yes,39.0,PayPal,Fortnightly,1
25,Male,Accessories,77.0,West,L,Spring,4.5,No,PayPal,Store Pickup,Yes,24.0,Credit Card,Monthly,0
49,Male,Accessories,65.0,Midwest,M,Summer,4.9,No,Debit Card,Standard,Yes,11.0,PayPal,Every 3 Months,0
34,Male,Accessories,36.0,Southwest,M,Spring,3.1,No,Venmo,Standard,Yes,36.0,Credit Card,Weekly,2
22,Male,Footwear,84.0,Northeast,M,Winter,4.0,No,Venmo,Next Day Air,Yes,40.0,Debit Card,Monthly,1
63,Male,Clothing,58.0,Southeast,XL,Fall,3.2,No,Cash,Express,Yes,25.0,Cash,Quarterly,2
70,Male,Accessories,62.0,Southeast,S,Spring,4.3,No,PayPal,2-Day Shipping,Yes,12.0,Credit Card,Annually,0
36,Male,Accessories,67.0,Northeast,S,Fall,2.5,No,Debit Card,Store Pickup,Yes,38.0,Cash,Monthly,1
42,Male,Clothing,20.0,Midwest,M,Spring,4.9,No,Debit Card,Express,Yes,40.0,Cash,Quarterly,2
27,Male,Footwear,90.0,Midwest,M,Summer,2.7,No,Debit Card,2-Day Shipping,Yes,10.0,Bank Transfer,Weekly,0
23,Male,Accessories,58.0,Midwest,L,Winter,3.4,No,Venmo,Standard,Yes,47.0,Venmo,Fortnightly,2
50,Male,Clothing,53.0,Southeast,XL,Spring,4.8,No,Venmo,Store Pickup,Yes,22.0,Debit Card,Monthly,3
56,Male,Accessories,30.0,Northeast,L,Winter,4.7,No,PayPal,Next Day Air,Yes,35.0,Debit Card,Monthly,2
37,Male,Clothing,65.0,Northeast,XL,Winter,4.7,No,Credit Card,Express,Yes,46.0,Venmo,Fortnightly,1
67,Male,Accessories,41.0,Southeast,M,Summer,3.9,No,Cash,Standard,Yes,30.0,PayPal,Bi-Weekly,2
67,Male,Clothing,73.0,Midwest,M,Spring,3.7,No,Credit Card,Express,Yes,20.0,Bank Transfer,Monthly,0
50,Male,Clothing,98.0,Southeast,S,Spring,4.3,No,PayPal,Store Pickup,Yes,25.0,Cash,Fortnightly,0
36,Male,Footwear,36.0,Northeast,XL,Winter,4.1,No,PayPal,2-Day Shipping,Yes,29.0,Cash,Weekly,2
62,Male,Clothing,81.0,Midwest,M,Summer,4.6,No,Bank Transfer,Express,Yes,2.0,Venmo,Every 3 Months,0
65,Male,Clothing,90.0,Northeast,L,Winter,3.6,No,PayPal,2-Day Shipping,Yes,32.0,Bank Transfer,Quarterly,1
23,Male,Accessories,83.0,Midwest,S,Summer,4.8,No,Debit Card,Free Shipping,Yes,37.0,Cash,Monthly,1
46,Male,Clothing,91.0,West,XL,Winter,2.8,No,Credit Card,2-Day Shipping,Yes,16.0,Bank Transfer,Every 3 Months,0
18,Male,Clothing,36.0,Midwest,M,Summer,4.7,No,Venmo,Express,Yes,32.0,Venmo,Fortnightly,2
58,Male,Outerwear,53.0,Southeast,L,Spring,3.9,No,PayPal,Standard,Yes,42.0,Debit Card,Bi-Weekly,2
31,Male,Clothing,39.0,Southeast,M,Winter,2.6,No,Cash,Store Pickup,Yes,6.0,Credit Card,Every 3 Months,3
39,Male,Accessories,33.0,Midwest,S,Winter,4.7,No,Debit Card,Next Day Air,Yes,23.0,PayPal,Fortnightly,3
69,Male,Clothing,76.0,Midwest,L,Spring,3.5,No,Cash,Store Pickup,Yes,27.0,Venmo,Bi-Weekly,1
68,Male,Footwear,23.0,West,L,Winter,4.4,No,Cash,Standard,Yes,43.0,PayPal,Quarterly,2
41,Male,Clothing,54.0,Southeast,S,Fall,4.4,No,PayPal,2-Day Shipping,Yes,25.0,Bank Transfer,Fortnightly,2
31,Male,Footwear,89.0,West,L,Summer,3.0,No,Venmo,Express,Yes,30.0,Cash,Every 3 Months,1
48,Male,Footwear,38.0,Midwest,M,Summer,4.2,No,Debit Card,Standard,Yes,7.0,Bank Transfer,Every 3 Months,3
59,Male,Accessories,36.0,Southeast,XL,Winter,4.3,No,PayPal,Next Day Air,Yes,17.0,Debit Card,Annually,3
34,Male,Clothing,66.0,Southeast,M,Spring,2.6,No,Bank Transfer,Store Pickup,Yes,10.0,PayPal,Fortnightly,0
21,Male,Accessories,42.0,Southeast,L,Spring,3.3,No,Cash,Store Pickup,Yes,40.0,Venmo,Annually,2
29,Male,Accessories,36.0,Southeast,S,Winter,2.7,No,Debit Card,Next Day Air,Yes,50.0,Venmo,Bi-Weekly,2
41,Male,Clothing,86.0,Midwest,M,Spring,4.2,No,Bank Transfer,Express,Yes,24.0,Credit Card,Weekly,0
62,Male,Accessories,49.0,Northeast,M,Fall,4.0,No,Cash,Standard,Yes,8.0,PayPal,Every 3 Months,3
27,Male,Clothing,41.0,West,M,Summer,4.0,No,PayPal,Free Shipping,Yes,6.0,Bank Transfer,Quarterly,3
49,Male,Clothing,82.0,Southeast,L,Spring,2.9,No,Venmo,2-Day Shipping,Yes,44.0,Credit Card,Bi-Weekly,1
67,Male,Clothing,53.0,Southeast,S,Fall,2.6,No,Debit Card,Express,Yes,47.0,PayPal,Quarterly,2
20,Male,Footwear,21.0,West,M,Summer,4.8,No,PayPal,Express,Yes,6.0,Venmo,Every 3 Months,3
37,Male,Accessories,66.0,Southeast,M,Fall,4.4,No,Credit Card,Standard,Yes,11.0,Cash,Quarterly,0
69,Male,Accessories,89.0,West,L,Summer,4.0,No,Venmo,2-Day Shipping,Yes,41.0,Bank Transfer,Annually,1
66,Male,Accessories,55.0,Northeast,L,Fall,3.6,No,Debit Card,2-Day Shipping,Yes,46.0,Venmo,Every 3 Months,2
37,Male,Accessories,42.0,Midwest,S,Summer,3.2,No,Cash,Next Day Air,Yes,9.0,Venmo,Bi-Weekly,3
63,Male,Clothing,52.0,Southwest,S,Fall,3.1,No,Bank Transfer,2-Day Shipping,Yes,37.0,PayPal,Monthly,2
47,Male,Footwear,92.0,Southeast,M,Winter,4.2,No,Venmo,Express,Yes,13.0,PayPal,Weekly,0
26,Male,Clothing,56.0,Southeast,L,Summer,3.0,No,Credit Card,2-Day Shipping,Yes,24.0,Debit Card,Monthly,3
68,Male,Clothing,96.0,West,M,Winter,4.2,No,Credit Card,Standard,Yes,47.0,PayPal,Quarterly,1
51,Male,Clothing,64.0,Midwest,M,Winter,2.9,No,Cash,Next Day Air,Yes,21.0,Venmo,Every 3 Months,0
48,Male,Clothing,48.0,Northeast,S,Winter,3.7,No,Cash,Store Pickup,Yes,22.0,Venmo,Fortnightly,3
60,Male,Clothing,83.0,Northeast,XL,Summer,3.6,No,PayPal,Free Shipping,Yes,16.0,PayPal,Quarterly,0
68,Male,Accessories,91.0,Southeast,L,Summer,3.6,No,PayPal,Standard,Yes,37.0,Debit Card,Fortnightly,1
25,Male,Accessories,94.0,West,S,Fall,4.5,No,Venmo,2-Day Shipping,Yes,3.0,Cash,Annually,0
57,Male,Clothing,62.0,Midwest,S,Spring,3.2,No,Bank Transfer,Express,Yes,33.0,Cash,Bi-Weekly,1
41,Male,Clothing,55.0,Southwest,M,Spring,3.9,No,Bank Transfer,Next Day Air,Yes,15.0,Debit Card,Annually,3
59,Male,Outerwear,68.0,West,L,Spring,4.6,No,Credit Card,Store Pickup,Yes,42.0,Bank Transfer,Bi-Weekly,1
44,Male,Accessories,76.0,Midwest,M,Winter,2.5,No,Credit Card,Express,Yes,42.0,Cash,Bi-Weekly,1
42,Male,Accessories,31.000000000000004,Midwest,M,Winter,4.3,No,Cash,Express,Yes,19.0,Bank Transfer,Bi-Weekly,3
35,Male,Accessories,81.0,Northeast,M,Spring,4.1,No,Credit Card,Store Pickup,Yes,26.0,PayPal,Quarterly,0
36,Male,Clothing,83.0,West,M,Winter,4.6,No,Credit Card,Free Shipping,Yes,39.0,PayPal,Quarterly,1
54,Male,Clothing,21.0,Midwest,M,Spring,4.8,No,Cash,Standard,Yes,24.0,Debit Card,Monthly,3
37,Male,Clothing,22.0,Southeast,M,Spring,4.9,No,Credit Card,Express,Yes,23.0,Debit Card,Annually,3
20,Male,Clothing,33.0,Midwest,M,Summer,2.8,No,Debit Card,Free Shipping,Yes,44.0,Bank Transfer,Annually,2
23,Male,Clothing,23.0,West,S,Spring,4.9,No,Cash,Standard,Yes,34.0,Cash,Monthly,2
61,Male,Clothing,96.0,Northeast,L,Summer,3.5,No,Cash,Free Shipping,Yes,43.0,Bank Transfer,Quarterly,1
37,Male,Accessories,21.0,West,M,Spring,3.8,No,Debit Card,Express,Yes,45.0,PayPal,Quarterly,2
23,Male,Clothing,39.0,Southwest,M,Spring,4.5,No,PayPal,2-Day Shipping,Yes,4.0,Credit Card,Weekly,3
63,Male,Accessories,73.0,Southeast,S,Fall,3.4,No,Bank Transfer,Express,Yes,19.0,Credit Card,Annually,0
47,Male,Clothing,64.0,Northeast,M,Spring,3.9,No,Debit Card,Standard,Yes,29.0,Credit Card,Monthly,1
63,Male,Clothing,68.0,Midwest,M,Summer,4.1,No,Cash,2-Day Shipping,Yes,27.0,Credit Card,Annually,1
56,Male,Accessories,89.0,Midwest,L,Fall,3.0,No,Cash,Express,Yes,37.0,Credit Card,Every 3 Months,1
68,Male,Clothing,29.000000000000004,Southeast,M,Summer,3.3,No,Credit Card,Next Day Air,Yes,11.0,Credit Card,Weekly,3
64,Male,Clothing,97.0,Southwest,XL,Summer,4.9,No,Venmo,Free Shipping,Yes,28.0,Debit Card,Annually,1
62,Male,Clothing,45.0,Southeast,M,Winter,4.3,No,Bank Transfer,Next Day Air,Yes,31.0,Credit Card,Weekly,2
34,Male,Clothing,70.0,Midwest,L,Winter,4.1,No,Debit Card,Free Shipping,Yes,50.0,Venmo,Quarterly,1
49,Male,Outerwear,56.0,Southeast,M,Summer,4.0,No,PayPal,2-Day Shipping,Yes,42.0,Venmo,Quarterly,2
40,Male,Outerwear,55.0,West,L,Fall,5.0,No,Venmo,2-Day Shipping,Yes,18.0,Credit Card,Fortnightly,3
50,Male,Clothing,46.0,Northeast,S,Winter,3.1,No,Debit Card,2-Day Shipping,Yes,6.0,Credit Card,Fortnightly,3
25,Male,Accessories,95.0,Southwest,M,Winter,4.0,No,Cash,2-Day Shipping,Yes,33.0,Venmo,Monthly,1
30,Male,Accessories,88.0,Midwest,M,Winter,3.2,No,PayPal,2-Day Shipping,Yes,13.0,Bank Transfer,Bi-Weekly,0
54,Male,Footwear,92.0,Northeast,L,Fall,3.9,No,Debit Card,Standard,Yes,26.0,PayPal,Annually,0
40,Male,Clothing,49.0,Northeast,M,Summer,3.9,No,Bank Transfer,2-Day Shipping,Yes,17.0,Cash,Annually,3
49,Male,Footwear,89.0,Southeast,M,Fall,4.5,No,Credit Card,Free Shipping,Yes,3.0,Debit Card,Weekly,0
27,Male,Outerwear,22.0,Northeast,XL,Winter,4.4,No,Bank Transfer,Store Pickup,Yes,7.0,PayPal,Weekly,3
27,Male,Footwear,61.0,Midwest,XL,Summer,3.1,No,Cash,2-Day Shipping,Yes,46.0,Venmo,Fortnightly,1
48,Male,Accessories,29.000000000000004,Southeast,S,Spring,2.9,No,Bank Transfer,Standard,Yes,14.0,Venmo,Every 3 Months,3
40,Male,Footwear,82.0,Midwest,M,Winter,3.7,No,Bank Transfer,Free Shipping,Yes,23.0,Bank Transfer,Annually,0
67,Male,Accessories,94.0,Southeast,M,Spring,3.2,No,Bank Transfer,2-Day Shipping,Yes,20.0,Credit Card,Every 3 Months,0
52,Male,Accessories,99.0,West,M,Spring,3.5,No,Credit Card,Standard,Yes,38.0,Bank Transfer,Fortnightly,1
22,Male,Accessories,59.0,Southeast,S,Fall,3.0,No,Cash,Free Shipping,Yes,16.0,Venmo,Every 3 Months,0
62,Male,Footwear,90.0,West,M,Summer,4.1,No,Venmo,Next Day Air,Yes,48.0,Credit Card,Every 3 Months,1
20,Male,Footwear,100.0,Midwest,S,Winter,2.9,No,Cash,2-Day Shipping,Yes,8.0,Debit Card,Annually,0
41,Male,Clothing,62.0,Northeast,M,Winter,3.8,No,PayPal,Next Day Air,Yes,16.0,Bank Transfer,Monthly,0
34,Male,Accessories,78.0,Midwest,M,Fall,4.1,No,PayPal,Next Day Air,Yes,5.0,Cash,Quarterly,0
23,Male,Clothing,94.0,Southwest,M,Spring,4.6,No,Venmo,Store Pickup,Yes,14.0,Venmo,Every 3 Months,0
32,Male,Footwear,74.0,Northeast,M,Summer,2.5,No,Venmo,Free Shipping,Yes,18.0,Credit Card,Weekly,0
68,Male,Accessories,52.0,Southeast,XL,Spring,3.7,No,Cash,Express,Yes,14.0,Debit Card,Every 3 Months,3
30,Male,Outerwear,81.0,Northeast,M,Fall,3.8,No,Cash,Free Shipping,Yes,5.0,Cash,Every 3 Months,0
66,Male,Clothing,20.0,West,L,Winter,2.6,No,Cash,2-Day Shipping,Yes,15.0,Credit Card,Every 3 Months,3
62,Male,Clothing,32.0,West,XL,Summer,3.7,No,PayPal,Free Shipping,Yes,3.0,Venmo,Every 3 Months,3
50,Male,Footwear,63.0,Midwest,XL,Fall,2.6,No,Debit Card,Free Shipping,Yes,12.0,Cash,Every 3 Months,0
55,Male,Footwear,79.0,Northeast,M,Spring,3.1,No,Venmo,Store Pickup,Yes,43.0,Cash,Every 3 Months,1
19,Male,Clothing,23.0,Northeast,M,Winter,2.5,No,Bank Transfer,Next Day Air,Yes,35.0,Credit Card,Bi-Weekly,2
67,Male,Accessories,64.0,Southeast,M,Winter,4.9,No,Bank Transfer,Express,Yes,36.0,Bank Transfer,Quarterly,1
18,Male,Clothing,69.0,Midwest,M,Winter,4.5,No,Bank Transfer,Standard,Yes,3.0,Cash,Quarterly,0
58,Male,Clothing,69.0,Midwest,L,Fall,3.4,No,Bank Transfer,Store Pickup,Yes,27.0,Bank Transfer,Annually,1
69,Male,Clothing,24.0,Midwest,L,Winter,3.9,No,Credit Card,Free Shipping,Yes,21.0,Bank Transfer,Weekly,3
62,Male,Clothing,50.0,Midwest,M,Summer,3.7,No,Bank Transfer,Store Pickup,Yes,18.0,Venmo,Weekly,3
28,Male,Accessories,97.0,Southeast,S,Fall,2.6,No,Credit Card,Free Shipping,Yes,16.0,Debit Card,Weekly,0
53,Male,Footwear,91.0,Midwest,S,Fall,3.4,No,PayPal,Store Pickup,Yes,18.0,Venmo,Bi-Weekly,0
27,Male,Clothing,37.0,Midwest,L,Spring,4.9,No,Venmo,Store Pickup,Yes,19.0,Bank Transfer,Bi-Weekly,3
55,Male,Outerwear,55.0,Midwest,S,Winter,3.9,No,Venmo,Express,Yes,1.0,Cash,Annually,3
34,Male,Accessories,52.0,Midwest,XL,Winter,3.6,No,Venmo,Express,Yes,39.0,Bank Transfer,Annually,2
25,Male,Accessories,80.0,Midwest,L,Spring,4.6,No,Debit Card,Standard,Yes,49.0,Venmo,Monthly,1
66,Male,Clothing,79.0,Northeast,M,Spring,4.0,No,Credit Card,2-Day Shipping,Yes,43.0,Credit Card,Fortnightly,1
57,Male,Accessories,23.0,Northeast,M,Summer,3.6,No,Cash,Free Shipping,Yes,31.0,Debit Card,Every 3 Months,2
46,Male,Clothing,73.0,West,L,Winter,3.5,No,Cash,Next Day Air,Yes,40.0,Venmo,Every 3 Months,1
38,Male,Accessories,99.0,Northeast,M,Fall,4.1,No,Cash,Store Pickup,Yes,2.0,Bank Transfer,Bi-Weekly,0
23,Male,Clothing,22.0,West,M,Spring,3.0,No,Bank Transfer,Store Pickup,Yes,46.0,PayPal,Every 3 Months,2
42,Male,Accessories,68.0,West,M,Summer,4.4,No,PayPal,Store Pickup,Yes,35.0,Debit Card,Every 3 Months,1
25,Male,Clothing,92.0,Midwest,S,Spring,4.4,No,Credit Card,2-Day Shipping,Yes,42.0,Credit Card,Quarterly,1
55,Male,Clothing,77.0,West,M,Winter,3.7,No,PayPal,Express,Yes,3.0,Venmo,Fortnightly,0
62,Male,Outerwear,37.0,Northeast,XL,Spring,4.8,No,PayPal,Standard,Yes,32.0,Debit Card,Every 3 Months,2
41,Male,Accessories,79.0,Northeast,L,Winter,2.9,No,Debit Card,Store Pickup,Yes,48.0,Debit Card,Annually,1
58,Male,Clothing,51.0,West,XL,Winter,3.1,No,Cash,Express,Yes,34.0,Credit Card,Weekly,2
56,Male,Clothing,27.0,West,M,Summer,4.0,No,Bank Transfer,Next Day Air,Yes,15.0,Bank Transfer,Quarterly,3
25,Male,Clothing,23.0,Northeast,S,Spring,3.0,No,PayPal,Store Pickup,Yes,22.0,Debit Card,Annually,3
70,Male,Clothing,76.0,Midwest,S,Summer,3.9,No,Cash,2-Day Shipping,Yes,2.0,Cash,Monthly,0
42,Male,Clothing,31.000000000000004,Northeast,M,Fall,3.4,No,Bank Transfer,Standard,Yes,30.0,Bank Transfer,Weekly,2
27,Male,Clothing,60.0,Southwest,M,Winter,2.7,No,Credit Card,Standard,Yes,27.0,Cash,Monthly,2
65,Male,Clothing,99.0,Southeast,M,Spring,3.5,No,Bank Transfer,Express,Yes,18.0,Venmo,Bi-Weekly,0
62,Male,Accessories,37.0,Midwest,XL,Winter,3.0,No,Credit Card,Free Shipping,Yes,8.0,Credit Card,Annually,3
62,Male,Footwear,50.0,West,M,Winter,4.5,No,PayPal,Express,Yes,48.0,Venmo,Fortnightly,2
52,Male,Clothing,26.0,Northeast,XL,Winter,4.1,No,Cash,Free Shipping,Yes,24.0,Cash,Monthly,3
56,Male,Clothing,86.0,Midwest,XL,Spring,5.0,No,Debit Card,Next Day Air,Yes,43.0,Credit Card,Monthly,1
28,Male,Footwear,41.0,Northeast,L,Fall,4.0,No,Venmo,Standard,Yes,8.0,Cash,Quarterly,3
39,Male,Footwear,23.0,West,XL,Winter,4.9,No,Venmo,Express,Yes,49.0,PayPal,Annually,2
54,Male,Footwear,56.0,West,XL,Spring,3.3,No,Cash,2-Day Shipping,Yes,2.0,Credit Card,Bi-Weekly,3
30,Male,Accessories,68.0,Midwest,M,Fall,4.1,No,Credit Card,Standard,Yes,38.0,Cash,Fortnightly,1
45,Male,Outerwear,48.0,Southeast,S,Winter,3.6,No,Cash,Express,Yes,4.0,Cash,Fortnightly,3
68,Male,Clothing,67.0,Midwest,L,Spring,3.0,No,Cash,Free Shipping,Yes,31.0,Cash,Every 3 Months,1
47,Male,Footwear,87.0,Midwest,XL,Spring,4.1,No,Debit Card,2-Day Shipping,Yes,34.0,Debit Card,Every 3 Months,1
68,Male,Clothing,64.0,Midwest,M,Fall,3.9,No,Bank Transfer,Standard,Yes,45.0,Credit Card,Monthly,1
63,Male,Clothing,93.0,Southeast,XL,Spring,4.1,No,Venmo,Store Pickup,Yes,30.0,Debit Card,Quarterly,1
20,Male,Clothing,29.000000000000004,Northeast,L,Summer,2.8,No,Venmo,Next Day Air,Yes,2.0,Credit Card,Fortnightly,3
29,Male,Footwear,62.0,Southeast,L,Winter,4.8,No,Debit Card,Store Pickup,Yes,44.0,Venmo,Monthly,1
41,Male,Clothing,70.0,Southeast,L,Winter,4.6,No,Bank Transfer,2-Day Shipping,Yes,1.0,Credit Card,Bi-Weekly,0
52,Male,Clothing,92.0,Northeast,S,Winter,2.5,No,Venmo,Next Day Air,Yes,1.0,Venmo,Bi-Weekly,0
32,Male,Clothing,79.0,Southwest,M,Spring,2.7,No,Bank Transfer,Next Day Air,Yes,27.0,Bank Transfer,Weekly,1
20,Male,Clothing,31.000000000000004,Midwest,M,Fall,4.0,No,Cash,Standard,Yes,14.0,Debit Card,Every 3 Months,3
47,Male,Clothing,83.0,West,S,Spring,2.7,No,Credit Card,Standard,Yes,41.0,Cash,Weekly,1
23,Male,Outerwear,88.0,West,XL,Winter,2.9,No,Venmo,Next Day Air,Yes,25.0,Debit Card,Bi-Weekly,0
43,Male,Accessories,53.0,Northeast,M,Spring,3.0,No,PayPal,Standard,Yes,47.0,PayPal,Quarterly,2
67,Male,Clothing,98.0,Southeast,M,Fall,3.3,No,Cash,Standard,Yes,20.0,Cash,Annually,0
70,Male,Accessories,57.0,Southeast,S,Spring,4.3,No,Cash,Store Pickup,Yes,42.0,PayPal,Annually,2
35,Male,Footwear,80.0,Midwest,M,Winter,4.4,No,Debit Card,Express,Yes,16.0,Bank Transfer,Monthly,0
41,Male,Clothing,29.000000000000004,Southeast,L,Spring,4.1,No,Cash,Next Day Air,Yes,32.0,Credit Card,Every 3 Months,2
54,Male,Accessories,73.0,Midwest,M,Spring,3.1,No,Cash,2-Day Shipping,Yes,37.0,PayPal,Quarterly,1
55,Male,Clothing,32.0,Southwest,S,Fall,4.5,No,PayPal,Standard,Yes,1.0,PayPal,Monthly,3
51,Male,Footwear,68.0,West,L,Spring,4.8,No,PayPal,Next Day Air,Yes,37.0,Bank Transfer,Weekly,1
19,Male,Clothing,97.0,Northeast,L,Spring,5.0,No,Debit Card,Express,Yes,5.0,Venmo,Quarterly,0
28,Male,Clothing,98.0,West,M,Fall,2.8,No,Credit Card,Next Day Air,Yes,31.0,Venmo,Fortnightly,1
63,Male,Clothing,56.0,Southeast,L,Fall,3.7,No,PayPal,Express,Yes,18.0,Debit Card,Annually,3
30,Male,Clothing,78.0,Southeast,L,Winter,4.4,No,PayPal,2-Day Shipping,Yes,39.0,Venmo,Every 3 Months,1
29,Male,Accessories,81.0,Northeast,M,Spring,4.5,No,Cash,Store Pickup,Yes,8.0,Venmo,Bi-Weekly,0
24,Male,Clothing,68.0,Northeast,L,Winter,3.0,No,Debit Card,Free Shipping,Yes,20.0,Venmo,Monthly,0
69,Male,Clothing,94.0,West,M,Winter,3.9,No,Credit Card,2-Day Shipping,Yes,23.0,Debit Card,Every 3 Months,0
65,Male,Clothing,93.0,Southwest,M,Spring,3.9,No,Bank Transfer,Express,Yes,38.0,PayPal,Fortnightly,1
64,Male,Accessories,99.0,Southeast,M,Fall,3.5,No,Venmo,Next Day Air,Yes,45.0,Bank Transfer,Fortnightly,1
40,Male,Accessories,49.0,Southeast,L,Winter,4.9,No,Bank Transfer,Next Day Air,Yes,44.0,Debit Card,Fortnightly,2
24,Male,Clothing,28.0,West,XL,Winter,3.4,No,Venmo,Standard,Yes,20.0,PayPal,Monthly,3
66,Male,Accessories,93.0,Midwest,XL,Winter,4.1,No,Venmo,Standard,Yes,34.0,PayPal,Bi-Weekly,1
35,Male,Outerwear,24.0,Northeast,M,Fall,2.9,No,Debit Card,Next Day Air,Yes,10.0,PayPal,Weekly,3
67,Male,Clothing,35.0,Southeast,M,Spring,3.4,No,Cash,Free Shipping,Yes,3.0,PayPal,Annually,3
69,Male,Footwear,68.0,Midwest,S,Spring,3.2,No,Venmo,2-Day Shipping,Yes,23.0,Debit Card,Fortnightly,0
26,Male,Accessories,61.0,Southeast,M,Summer,3.9,No,Debit Card,Free Shipping,Yes,42.0,Bank Transfer,Annually,1
23,Male,Clothing,74.0,Southeast,XL,Fall,4.1,No,Bank Transfer,Standard,Yes,30.0,Debit Card,Annually,1
27,Male,Clothing,64.0,Southwest,M,Summer,4.5,No,Credit Card,Standard,Yes,21.0,Cash,Every 3 Months,0
30,Male,Footwear,60.0,West,M,Fall,2.8,No,PayPal,Standard,Yes,50.0,PayPal,Weekly,1
